name,gender,frequency
Jan,M,54862
Per,M,44156
Bjørn,M,34567
Ole,M,32891
Lars,M,31245
Kjell,M,28934
Nils,M,27654
Arne,M,26543
Knut,M,24321
Svein,M,23456
Erik,M,22345
Tor,M,21234
Hans,M,20123
Terje,M,19012
Morten,M,18901
Geir,M,18234
Thomas,M,17654
Martin,M,16892
Trond,M,16543
Rune,M,15678
Helge,M,15432
Øyvind,M,14567
Håkon,M,14321
Dag,M,14098
Rolf,M,13876
Gunnar,M,13654
Jon,M,13432
Magnus,M,13210
Espen,M,12987
Kristian,M,12765
Steinar,M,12543
Eirik,M,12321
Anders,M,12098
Leif,M,11876
Ivar,M,11654
Frode,M,11432
Stian,M,11210
Andreas,M,10987
Henrik,M,10765
Petter,M,10543
Sigurd,M,10321
Stig,M,10098
Vidar,M,9876
Tore,M,9654
Olav,M,9432
Harald,M,9210
Einar,M,8987
Jørgen,M,8765
Finn,M,8543
Arild,M,8321
Magne,M,8098
Jostein,M,7876
Vegard,M,7654
Erlend,M,7432
Kristoffer,M,7210
Fredrik,M,6987
Sindre,M,6765
Torbjørn,M,6543
Pål,M,6321
Anne,F,56789
Inger,F,42345
Kari,F,38901
Marit,F,36789
Ingrid,F,34567
Liv,F,32345
Eva,F,30123
Bjørg,F,28901
Hilde,F,27678
Anna,F,26456
Solveig,F,25234
Astrid,F,24012
Randi,F,22790
Marianne,F,21567
Berit,F,20345
Else,F,19123
Gerd,F,17901
Helene,F,16678
Silje,F,16456
Hege,F,15234
Kristin,F,15012
Tone,F,14790
Bente,F,14567
Heidi,F,14345
Nina,F,14123
Lene,F,13901
Camilla,F,13678
Maria,F,13456
Marte,F,13234
Elisabeth,F,13012
Ida,F,12790
Line,F,12567
Turid,F,12345
Julie,F,12123
Sigrid,F,11901
Grete,F,11678
Ragnhild,F,11456
Trine,F,11234
Tonje,F,11012
Wenche,F,10790
Unni,F,10567
Kirsten,F,10345
Mona,F,10123
Laila,F,9901
Elin,F,9678
Anita,F,9456
Siri,F,9234
Linda,F,9012
Elise,F,8790
Thea,F,8567
Nora,F,8345
Emma,F,8123
Sara,F,7901
Sofie,F,7678
Emilie,F,7456
