"hobby_no","hobby_en","category","M_under30","M_30_50","M_50_67","M_over67","F_under30","F_30_50","F_50_67","F_over67","min_age"
"Fotball på lag","Football","sport","40","15","5","2","15","8","3","1","6"
"Handball","Handball","sport","15","5","2","1","18","5","2","1","6"
"Innebandy","Floorball","sport","12","8","3","1","10","5","2","1","6"
"Ishockey","Ice hockey","sport","8","5","2","1","4","3","1","0","6"
"Volleyball","Volleyball","sport","10","5","2","1","12","6","2","1","6"
"Basketball","Basketball","sport","12","5","2","1","10","4","2","1","6"
"Trening på treningssenter","Gym","sport","55","40","20","5","55","40","15","3","15"
"Løpetur","Running","sport","35","40","20","5","30","35","20","5","8"
"Sykling (mosjonist)","Cycling","sport","30","40","30","15","20","25","20","10","8"
"Yoga","Yoga","sport","10","15","10","5","40","40","30","15","13"
"Pilates","Pilates","sport","3","6","5","3","18","25","20","10","16"
"Klatring","Climbing","sport","20","15","5","1","15","10","3","0","8"
"Bouldering","Bouldering","sport","18","12","4","1","14","9","3","0","8"
"Isklatring","Ice climbing","sport","3","4","2","0","2","2","1","0","16"
"Alpint","Alpine skiing","sport","25","25","15","5","20","20","15","5","6"
"Langrenn","Cross-country skiing","sport","20","30","40","30","15","25","35","25","6"
"Snowboard","Snowboard","sport","18","10","3","0","12","6","2","0","6"
"Frikjøring (off-piste ski)","Backcountry skiing","sport","8","8","3","0","5","5","2","0","16"
"Crossfit","Crossfit","sport","18","15","5","1","15","12","3","0","16"
"Triatlon/Ironman","Triathlon/Ironman","sport","4","8","4","1","3","5","3","1","16"
"Karate","Karate","kampsport","10","6","3","1","7","4","2","1","6"
"Judo","Judo","kampsport","8","5","2","1","5","3","1","0","6"
"Taekwondo","Taekwondo","kampsport","8","4","2","1","7","3","1","0","6"
"BJJ (brasiliansk jiu-jitsu)","Brazilian jiu-jitsu","kampsport","8","7","2","0","4","3","1","0","16"
"MMA","MMA","kampsport","6","4","1","0","2","1","0","0","16"
"Boksing","Boxing","kampsport","10","8","4","1","6","4","2","0","10"
"Capoeira","Capoeira","kampsport","3","2","1","0","3","2","1","0","6"
"Bueskyting","Archery","sport","5","5","4","2","4","4","3","1","8"
"Pistolskyting (bane)","Pistol shooting","sport","6","8","8","4","2","3","3","1","16"
"Rifleskyting (bane)","Rifle shooting","sport","5","7","8","4","2","3","3","1","16"
"Curling","Curling","sport","1","2","3","2","1","2","3","2","6"
"Padel","Padel","sport","25","30","20","5","18","22","15","4","10"
"Squash","Squash","sport","8","12","8","2","5","8","5","1","10"
"Golf","Golf","sport","10","25","40","30","5","12","20","15","8"
"Fjelltur","Hiking","friluft","40","55","55","40","35","55","55","40","6"
"Hytteliv","Cabin life","friluft","20","45","60","55","20","45","60","50","6"
"Jakt","Hunting","friluft","15","25","30","15","3","5","5","2","14"
"Fiske","Fishing","friluft","30","40","45","40","10","15","20","15","6"
"Stangfiske (laks)","Salmon fishing","friluft","5","12","18","12","2","4","5","3","10"
"Båtliv","Boating","friluft","15","30","35","25","10","20","25","15","6"
"Padling/kajakk","Kayaking","friluft","15","20","15","5","12","18","10","3","10"
"Seiling","Sailing","friluft","6","12","15","10","4","9","11","6","8"
"Brettseiling/vindsurfing","Windsurfing","friluft","3","4","2","0","2","3","1","0","12"
"Soppjakt","Mushroom foraging","friluft","3","8","15","18","4","12","20","22","6"
"Bærplukking","Berry picking","friluft","8","18","30","35","12","25","40","45","6"
"Fugletitting (ornitologi)","Birdwatching","friluft","2","4","8","12","2","4","8","12","8"
"Geocaching","Geocaching","friluft","3","5","4","1","3","5","4","1","8"
"Orientering","Orienteering","friluft","4","6","5","2","4","6","5","2","8"
"Naturfoto","Nature photography","friluft","4","8","12","12","4","8","12","12","10"
"Kaldbading (vinterbading)","Cold-water swimming","friluft","3","8","10","5","5","12","15","7","16"
"Pilegrimsvandring","Pilgrimage hiking","friluft","1","3","5","7","1","3","5","7","12"
"Astronomi (amatør)","Amateur astronomy","friluft","2","3","4","4","1","2","2","2","8"
"Lese bøker","Reading","kulturell","25","35","40","40","40","55","60","55","6"
"Kino","Cinema","kulturell","55","40","25","10","55","45","30","10","6"
"Konsert","Concerts","kulturell","40","35","25","10","45","40","30","10","10"
"Klassisk konsert","Classical concerts","kulturell","3","5","15","25","4","7","18","28","6"
"Opera","Opera","kulturell","1","3","8","15","2","5","12","18","12"
