year,cpi_index,real_factor,nominal_index_1992_100
1920,5.5,60,5.21
1921,5.1,60.3,4.85
1922,4.3,60.7,4.11
1923,4,61.0,3.85
1924,4.4,61.3,4.26
1925,4.5,61.7,4.38
1926,3.8,62.0,3.72
1927,3.5,62.3,3.44
1928,3.2,62.7,3.16
1929,3.1,63.0,3.08
1930,3,63.3,3.0
1931,2.8,63.7,2.81
1932,2.8,64.0,2.83
1933,2.7,64.3,2.74
1934,2.8,64.7,2.86
1935,2.8,65.0,2.87
1936,2.9,64.0,2.93
1937,3.1,63.0,3.08
1938,3.2,62.0,3.13
1939,3.2,61.0,3.08
1940,3.7,60.0,3.5
1941,4.4,59.0,4.09
1942,4.7,58.0,4.3
1943,4.8,57.0,4.32
1944,4.9,56.0,4.33
1945,4.9,55.0,4.25
1946,5.1,55.5,4.46
1947,5.1,56.0,4.5
1948,5.1,56.5,4.54
1949,5.1,57.0,4.59
1950,5.3,57.5,4.81
1951,6.2,58.0,5.67
1952,6.7,58.5,6.18
1953,6.9,59.0,6.42
1954,7.1,59.5,6.66
1955,7.2,60.0,6.81
1956,7.5,61.0,7.22
1957,7.7,62.0,7.53
1958,8.1,63.0,8.05
1959,8.3,64.0,8.38
1960,8.3,65.0,8.51
1961,8.5,66.0,8.85
1962,8.9,67.0,9.41
1963,9.2,68.0,9.87
1964,9.7,69.0,10.56
1965,10.1,70.0,11.15
1966,10.4,71.5,11.73
1967,10.9,73.0,12.55
1968,11.3,74.5,13.28
1969,11.6,76.0,13.91
1970,12.8,77.5,15.65
1971,13.7,79.0,17.07
1972,14.6,80.5,18.54
1973,15.7,82.0,20.31
1974,17.2,83.5,22.65
1975,19.2,85.0,25.74
1976,21,88.0,29.15
1977,22.9,91.0,32.87
1978,24.7,94.0,36.62
1979,25.9,97.0,39.63
1980,28.7,100.0,45.27
1981,32.6,103.0,52.96
1982,36.3,106.0,60.69
1983,39.4,109.0,67.74
1984,41.9,112.0,74.02
1985,44.2,115.0,80.17
1986,47.4,118.3,88.47
1987,51.6,121.7,99.02
1988,55,125.0,108.44
1989,57.5,118.8,107.7
1990,59.9,112.5,106.29
1991,61.9,106.2,103.74
1992,63.4,100,100.0
