fylke_code,fylke,boligtype_code,boligtype,year,price_m2_nok
0,Hele landet,01,Eneboliger,2002,11268
0,Hele landet,01,Eneboliger,2003,11352
0,Hele landet,01,Eneboliger,2004,12392
0,Hele landet,01,Eneboliger,2005,13302
0,Hele landet,01,Eneboliger,2006,14917
0,Hele landet,01,Eneboliger,2007,16643
0,Hele landet,01,Eneboliger,2008,16456
0,Hele landet,01,Eneboliger,2009,16847
0,Hele landet,01,Eneboliger,2010,17930
0,Hele landet,01,Eneboliger,2011,19028
0,Hele landet,01,Eneboliger,2012,19976
0,Hele landet,01,Eneboliger,2013,20780
0,Hele landet,01,Eneboliger,2014,21138
0,Hele landet,01,Eneboliger,2015,22068
0,Hele landet,01,Eneboliger,2016,23368
0,Hele landet,01,Eneboliger,2017,24550
0,Hele landet,01,Eneboliger,2018,24917
0,Hele landet,01,Eneboliger,2019,25691
0,Hele landet,01,Eneboliger,2020,26434
0,Hele landet,01,Eneboliger,2021,29167
0,Hele landet,01,Eneboliger,2022,30328
0,Hele landet,01,Eneboliger,2023,30056
0,Hele landet,01,Eneboliger,2024,30995
0,Hele landet,02,Småhus,2002,13535
0,Hele landet,02,Småhus,2003,13706
0,Hele landet,02,Småhus,2004,14995
0,Hele landet,02,Småhus,2005,16343
0,Hele landet,02,Småhus,2006,18607
0,Hele landet,02,Småhus,2007,21005
0,Hele landet,02,Småhus,2008,20483
0,Hele landet,02,Småhus,2009,21143
0,Hele landet,02,Småhus,2010,22907
0,Hele landet,02,Småhus,2011,24767
0,Hele landet,02,Småhus,2012,26219
0,Hele landet,02,Småhus,2013,27648
0,Hele landet,02,Småhus,2014,27687
0,Hele landet,02,Småhus,2015,29266
0,Hele landet,02,Småhus,2016,30873
0,Hele landet,02,Småhus,2017,32796
0,Hele landet,02,Småhus,2018,33252
0,Hele landet,02,Småhus,2019,34241
0,Hele landet,02,Småhus,2020,35130
0,Hele landet,02,Småhus,2021,38141
0,Hele landet,02,Småhus,2022,40281
0,Hele landet,02,Småhus,2023,40418
0,Hele landet,02,Småhus,2024,41737
0,Hele landet,03,Blokkleiligheter,2002,20451
0,Hele landet,03,Blokkleiligheter,2003,20969
0,Hele landet,03,Blokkleiligheter,2004,23323
0,Hele landet,03,Blokkleiligheter,2005,25924
0,Hele landet,03,Blokkleiligheter,2006,29864
0,Hele landet,03,Blokkleiligheter,2007,32553
0,Hele landet,03,Blokkleiligheter,2008,30607
0,Hele landet,03,Blokkleiligheter,2009,31326
0,Hele landet,03,Blokkleiligheter,2010,34067
0,Hele landet,03,Blokkleiligheter,2011,37197
0,Hele landet,03,Blokkleiligheter,2012,40059
0,Hele landet,03,Blokkleiligheter,2013,41506
0,Hele landet,03,Blokkleiligheter,2014,42094
0,Hele landet,03,Blokkleiligheter,2015,45724
0,Hele landet,03,Blokkleiligheter,2016,49647
0,Hele landet,03,Blokkleiligheter,2017,52755
0,Hele landet,03,Blokkleiligheter,2018,53404
0,Hele landet,03,Blokkleiligheter,2019,55210
0,Hele landet,03,Blokkleiligheter,2020,57277
0,Hele landet,03,Blokkleiligheter,2021,62085
0,Hele landet,03,Blokkleiligheter,2022,65506
0,Hele landet,03,Blokkleiligheter,2023,66663
0,Hele landet,03,Blokkleiligheter,2024,69261
03,Oslo,01,Eneboliger,2002,20687
03,Oslo,01,Eneboliger,2003,20225
03,Oslo,01,Eneboliger,2004,21919
03,Oslo,01,Eneboliger,2005,25504
03,Oslo,01,Eneboliger,2006,28099
03,Oslo,01,Eneboliger,2007,31046
03,Oslo,01,Eneboliger,2008,31603
03,Oslo,01,Eneboliger,2009,32437
03,Oslo,01,Eneboliger,2010,35100
03,Oslo,01,Eneboliger,2011,38480
03,Oslo,01,Eneboliger,2012,41017
03,Oslo,01,Eneboliger,2013,41948
03,Oslo,01,Eneboliger,2014,42606
03,Oslo,01,Eneboliger,2015,46753
03,Oslo,01,Eneboliger,2016,51941
03,Oslo,01,Eneboliger,2017,57525
03,Oslo,01,Eneboliger,2018,58761
03,Oslo,01,Eneboliger,2019,61729
03,Oslo,01,Eneboliger,2020,64089
03,Oslo,01,Eneboliger,2021,72110
03,Oslo,01,Eneboliger,2022,72307
03,Oslo,01,Eneboliger,2023,71525
03,Oslo,01,Eneboliger,2024,73055
03,Oslo,02,Småhus,2002,19425
03,Oslo,02,Småhus,2003,18933
03,Oslo,02,Småhus,2004,20985
03,Oslo,02,Småhus,2005,23530
03,Oslo,02,Småhus,2006,27063
03,Oslo,02,Småhus,2007,30511
03,Oslo,02,Småhus,2008,30532
03,Oslo,02,Småhus,2009,32699
03,Oslo,02,Småhus,2010,36535
03,Oslo,02,Småhus,2011,39208
03,Oslo,02,Småhus,2012,41719
03,Oslo,02,Småhus,2013,43405
03,Oslo,02,Småhus,2014,44289
03,Oslo,02,Småhus,2015,47517
03,Oslo,02,Småhus,2016,53685
03,Oslo,02,Småhus,2017,60121
03,Oslo,02,Småhus,2018,60563
03,Oslo,02,Småhus,2019,63254
03,Oslo,02,Småhus,2020,65388
03,Oslo,02,Småhus,2021,73788
03,Oslo,02,Småhus,2022,76041
03,Oslo,02,Småhus,2023,75047
03,Oslo,02,Småhus,2024,77889
03,Oslo,03,Blokkleiligheter,2002,25202
03,Oslo,03,Blokkleiligheter,2003,24747
03,Oslo,03,Blokkleiligheter,2004,27665
03,Oslo,03,Blokkleiligheter,2005,31367
03,Oslo,03,Blokkleiligheter,2006,36583
03,Oslo,03,Blokkleiligheter,2007,39572
03,Oslo,03,Blokkleiligheter,2008,37205
03,Oslo,03,Blokkleiligheter,2009,39416
03,Oslo,03,Blokkleiligheter,2010,42572
03,Oslo,03,Blokkleiligheter,2011,47474
03,Oslo,03,Blokkleiligheter,2012,51315
03,Oslo,03,Blokkleiligheter,2013,53043
03,Oslo,03,Blokkleiligheter,2014,54112
03,Oslo,03,Blokkleiligheter,2015,60528
03,Oslo,03,Blokkleiligheter,2016,70585
03,Oslo,03,Blokkleiligheter,2017,75781
03,Oslo,03,Blokkleiligheter,2018,76281
03,Oslo,03,Blokkleiligheter,2019,78861
03,Oslo,03,Blokkleiligheter,2020,83304
03,Oslo,03,Blokkleiligheter,2021,92213
03,Oslo,03,Blokkleiligheter,2022,96955
03,Oslo,03,Blokkleiligheter,2023,97949
03,Oslo,03,Blokkleiligheter,2024,102899
11,Rogaland,01,Eneboliger,2002,10428
11,Rogaland,01,Eneboliger,2003,10940
11,Rogaland,01,Eneboliger,2004,11948
11,Rogaland,01,Eneboliger,2005,13129
11,Rogaland,01,Eneboliger,2006,15957
11,Rogaland,01,Eneboliger,2007,18955
11,Rogaland,01,Eneboliger,2008,19461
11,Rogaland,01,Eneboliger,2009,19380
11,Rogaland,01,Eneboliger,2010,21125
11,Rogaland,01,Eneboliger,2011,22783
11,Rogaland,01,Eneboliger,2012,24453
11,Rogaland,01,Eneboliger,2013,25097
11,Rogaland,01,Eneboliger,2014,24863
11,Rogaland,01,Eneboliger,2015,23710
11,Rogaland,01,Eneboliger,2016,23098
11,Rogaland,01,Eneboliger,2017,23818
11,Rogaland,01,Eneboliger,2018,23687
11,Rogaland,01,Eneboliger,2019,23738
11,Rogaland,01,Eneboliger,2020,24059
11,Rogaland,01,Eneboliger,2021,26175
11,Rogaland,01,Eneboliger,2022,27321
11,Rogaland,01,Eneboliger,2023,27865
11,Rogaland,01,Eneboliger,2024,29608
11,Rogaland,02,Småhus,2002,11474
11,Rogaland,02,Småhus,2003,11979
11,Rogaland,02,Småhus,2004,13599
11,Rogaland,02,Småhus,2005,15418
11,Rogaland,02,Småhus,2006,19070
11,Rogaland,02,Småhus,2007,23583
11,Rogaland,02,Småhus,2008,22968
11,Rogaland,02,Småhus,2009,23381
11,Rogaland,02,Småhus,2010,25764
11,Rogaland,02,Småhus,2011,28345
11,Rogaland,02,Småhus,2012,30221
11,Rogaland,02,Småhus,2013,31446
11,Rogaland,02,Småhus,2014,30666
11,Rogaland,02,Småhus,2015,29387
11,Rogaland,02,Småhus,2016,27819
11,Rogaland,02,Småhus,2017,28719
11,Rogaland,02,Småhus,2018,28736
11,Rogaland,02,Småhus,2019,28652
11,Rogaland,02,Småhus,2020,28750
11,Rogaland,02,Småhus,2021,30808
11,Rogaland,02,Småhus,2022,32563
11,Rogaland,02,Småhus,2023,33969
11,Rogaland,02,Småhus,2024,36753
11,Rogaland,03,Blokkleiligheter,2002,15936
11,Rogaland,03,Blokkleiligheter,2003,16790
11,Rogaland,03,Blokkleiligheter,2004,19123
11,Rogaland,03,Blokkleiligheter,2005,21304
11,Rogaland,03,Blokkleiligheter,2006,26039
11,Rogaland,03,Blokkleiligheter,2007,31373
11,Rogaland,03,Blokkleiligheter,2008,30294
11,Rogaland,03,Blokkleiligheter,2009,30301
11,Rogaland,03,Blokkleiligheter,2010,34149
11,Rogaland,03,Blokkleiligheter,2011,37882
11,Rogaland,03,Blokkleiligheter,2012,40918
11,Rogaland,03,Blokkleiligheter,2013,41566
11,Rogaland,03,Blokkleiligheter,2014,40816
11,Rogaland,03,Blokkleiligheter,2015,39720
11,Rogaland,03,Blokkleiligheter,2016,37361
11,Rogaland,03,Blokkleiligheter,2017,39074
11,Rogaland,03,Blokkleiligheter,2018,38554
11,Rogaland,03,Blokkleiligheter,2019,38041
11,Rogaland,03,Blokkleiligheter,2020,38500
11,Rogaland,03,Blokkleiligheter,2021,40840
11,Rogaland,03,Blokkleiligheter,2022,43860
11,Rogaland,03,Blokkleiligheter,2023,45832
11,Rogaland,03,Blokkleiligheter,2024,49808
15,Møre og Romsdal,01,Eneboliger,2002,8354
15,Møre og Romsdal,01,Eneboliger,2003,8379
15,Møre og Romsdal,01,Eneboliger,2004,8802
15,Møre og Romsdal,01,Eneboliger,2005,9801
15,Møre og Romsdal,01,Eneboliger,2006,10609
15,Møre og Romsdal,01,Eneboliger,2007,12144
15,Møre og Romsdal,01,Eneboliger,2008,12524
15,Møre og Romsdal,01,Eneboliger,2009,13179
15,Møre og Romsdal,01,Eneboliger,2010,13970
15,Møre og Romsdal,01,Eneboliger,2011,14822
15,Møre og Romsdal,01,Eneboliger,2012,15367
15,Møre og Romsdal,01,Eneboliger,2013,16024
15,Møre og Romsdal,01,Eneboliger,2014,16070
15,Møre og Romsdal,01,Eneboliger,2015,17063
15,Møre og Romsdal,01,Eneboliger,2016,17273
15,Møre og Romsdal,01,Eneboliger,2017,17928
15,Møre og Romsdal,01,Eneboliger,2018,17981
15,Møre og Romsdal,01,Eneboliger,2019,18159
15,Møre og Romsdal,01,Eneboliger,2020,19001
15,Møre og Romsdal,01,Eneboliger,2021,19942
15,Møre og Romsdal,01,Eneboliger,2022,21470
15,Møre og Romsdal,01,Eneboliger,2023,21255
15,Møre og Romsdal,01,Eneboliger,2024,22161
15,Møre og Romsdal,02,Småhus,2002,9717
15,Møre og Romsdal,02,Småhus,2003,9673
15,Møre og Romsdal,02,Småhus,2004,10915
15,Møre og Romsdal,02,Småhus,2005,11662
15,Møre og Romsdal,02,Småhus,2006,13937
15,Møre og Romsdal,02,Småhus,2007,15992
15,Møre og Romsdal,02,Småhus,2008,16580
15,Møre og Romsdal,02,Småhus,2009,17311
15,Møre og Romsdal,02,Småhus,2010,18768
15,Møre og Romsdal,02,Småhus,2011,18876
15,Møre og Romsdal,02,Småhus,2012,20675
15,Møre og Romsdal,02,Småhus,2013,21067
15,Møre og Romsdal,02,Småhus,2014,21517
