code,label,name_region,innvandrere,andre_gen
131,Polen,ost_europa,111740,18032
148,Ukraina,ost_europa,85461,2774
136,Litauen,ost_europa,43065,8402
564,Syria,mena_sor_asia,42040,8628
346,Somalia,afrika_sub,27769,16975
534,Pakistan,mena_sor_asia,24821,19292
106,Sverige,norden,37732,3874
452,Irak,mena_sor_asia,23939,13052
241,Eritrea,afrika_sub,25819,10488
144,Tyskland,vesteuropa,28145,3906
428,Filippinene,latam_filippin,25673,4240
404,Afghanistan,mena_sor_asia,20852,7019
140,Russland,ost_europa,22384,5091
456,Iran,mena_sor_asia,20650,5847
444,India,mena_sor_asia,19282,5734
568,Thailand,ost_asia,23203,1519
575,Vietnam,ost_asia,14806,9724
143,Tyrkia,mena_sor_asia,16370,7980
133,Romania,ost_europa,18893,3347
101,Danmark,norden,18137,2031
155,Bosnia-Hercegovina,ost_europa,13822,5381
139,Storbritannia,vesteuropa,17543,1230
161,Kosovo,ost_europa,10938,7040
424,Sri Lanka,mena_sor_asia,9635,6945
124,Latvia,ost_europa,14093,1984
246,Etiopia,afrika_sub,9826,4587
484,Kina,ost_asia,9903,2793
684,USA,vesteuropa,11192,801
303,Marokko,mena_sor_asia,6862,5050
159,Serbia,ost_europa,9040,2433
127,Nederland,vesteuropa,9614,1139
137,Spania,vesteuropa,9840,825
113,Bulgaria,ost_europa,8179,1140
117,Frankrike,vesteuropa,7821,753
356,Sudan,mena_sor_asia,5889,2185
725,Chile,latam_filippin,6154,1913
103,Finland,norden,6904,808
715,Brasil,latam_filippin,7078,568
105,Island,norden,6678,895
123,Italia,vesteuropa,6887,506
122,Kroatia,ost_europa,5874,1272
119,Hellas,ost_europa,5167,396
152,Ungarn,ost_europa,4566,963
115,Estland,ost_europa,4732,631
132,Portugal,vesteuropa,4751,533
508,Libanon,mena_sor_asia,3972,1231
156,Nord-Makedonia,ost_europa,3408,1719
111,Albania,ost_europa,4024,949
157,Slovakia,ost_europa,4111,740
420,Myanmar,ost_asia,3433,1273
528,Nepal,mena_sor_asia,3755,699
138,Moldova,ost_europa,2982,488
730,Colombia,latam_filippin,3151,307
260,Ghana,afrika_sub,2368,1068
313,Nigeria,afrika_sub,2595,817
386,Uganda,afrika_sub,2838,404
276,Kenya,afrika_sub,2720,498
158,Tsjekkia,ost_europa,2576,452
410,Bangladesh,mena_sor_asia,2212,634
612,Canada,vesteuropa,2418,190
705,Argentina,latam_filippin,2196,163
448,Indonesia,ost_asia,1926,376
249,Egypt,mena_sor_asia,1897,365
203,Algerie,afrika_sub,1478,686
652,Mexico,latam_filippin,1993,154
805,Australia,vesteuropa,2069,71
120,Belarus,ost_europa,1798,339
775,Venezuela,latam_filippin,1807,225
141,Sveits,vesteuropa,1805,217
329,Rwanda,afrika_sub,1704,310
112,Belgia,vesteuropa,1774,180
379,Tunisia,mena_sor_asia,1363,575
760,Peru,latam_filippin,1722,198
359,Sør-Afrika,afrika_sub,1636,124
216,Burundi,afrika_sub,1188,559
544,Saudi-Arabia,mena_sor_asia,1311,429
153,Østerrike,vesteuropa,1552,147
492,Sør-Korea,ost_asia,1495,149
464,Japan,ost_asia,1402,130
476,Jordan,mena_sor_asia,1233,299
620,Cuba,latam_filippin,1207,167
121,Irland,vesteuropa,1262,63
283,Liberia,afrika_sub,877,406
436,Hongkong,ost_asia,852,268
578,Jemen,ost_asia,823,256
369,Tanzania,afrika_sub,868,210
735,Ecuador,latam_filippin,787,93
160,Montenegro,ost_europa,579,238
355,Sør-Sudan,afrika_sub,658,155
339,Sierra Leone,afrika_sub,499,231
104,Færøyene,norden,609,100
204,Angola,afrika_sub,605,99
146,Slovenia,ost_europa,547,93
820,New Zealand,vesteuropa,620,19
710,Bolivia,latam_filippin,435,61
432,Taiwan,ost_asia,414,46
770,Uruguay,latam_filippin,268,36
516,Mongolia,ost_asia,194,42
319,Mosambik,afrika_sub,197,25
102,Grønland,norden,200,16
504,Laos,ost_asia,174,27
755,Paraguay,latam_filippin,156,15
129,Luxembourg,vesteuropa,76,0
416,Brunei,mena_sor_asia,27,4
128,Liechtenstein,vesteuropa,19,3
745,Fransk Guyana,latam_filippin,7,0
125,Serbia og Montenegro,vesteuropa,0,0
