code,label,start_year,peak_year,arrival_profile
101,Danmark,1900,2010,labour
103,Finland,1900,1995,labour
105,Island,1900,2010,labour
106,Sverige,1900,2012,labour
139,Storbritannia,1900,2005,labour
117,Frankrike,1945,2010,labour
144,Tyskland,1945,2008,labour
127,Nederland,1945,2008,labour
137,Spania,1945,2012,labour
123,Italia,1945,2012,labour
121,Irland,1945,2010,labour
684,USA,1900,2005,labour
112,Belgia,1945,2010,labour
129,Luxembourg,1945,2010,labour
131,Polen,1990,2010,labour
148,Ukraina,1990,2023,refugee
136,Litauen,1990,2010,labour
124,Latvia,1990,2010,labour
115,Estland,1990,2008,labour
133,Romania,1990,2014,labour
113,Bulgaria,1990,2014,labour
140,Russland,1990,2005,labour
120,Belarus,1990,2010,labour
122,Kroatia,1990,1995,refugee
155,Bosnia-Hercegovina,1992,1994,refugee
111,Albania,1990,2014,labour
161,Kosovo,1999,2002,refugee
159,Serbia,1990,2000,refugee
158,Montenegro,1990,2008,labour
156,Nord-Makedonia,1990,2010,labour
119,Hellas,1965,2014,labour
143,Tyrkia,1965,1985,mixed
534,Pakistan,1970,1985,mixed
564,Syria,2013,2016,refugee
452,Irak,1985,2000,refugee
404,Afghanistan,1985,2002,refugee
456,Iran,1979,1985,refugee
444,India,1965,2010,mixed
424,Sri Lanka,1985,1995,mixed
303,Marokko,1965,1985,mixed
356,Sudan,1990,2008,refugee
346,Somalia,1991,2005,refugee
241,Eritrea,1995,2010,refugee
246,Etiopia,1985,2005,refugee
317,Ghana,1980,2005,refugee
203,Kongo,1995,2010,refugee
355,Uganda,1990,2005,refugee
215,Kenya,1985,2005,refugee
378,Tanzania,1985,2005,refugee
369,Sør-Afrika,1990,2010,refugee
568,Thailand,1980,2005,refugee
575,Vietnam,1975,1980,refugee
484,Kina,1980,2010,refugee
436,Hongkong,1980,1995,refugee
578,Sør-Korea,1985,2005,refugee
508,Japan,1985,2005,refugee
428,Filippinene,1980,2005,refugee
725,Chile,1973,1985,refugee
715,Brasil,1990,2010,refugee
745,Argentina,1985,2010,refugee
755,Colombia,1990,2010,refugee
711,Peru,1985,2010,refugee
414,Bangladesh,1985,2005,refugee
416,Bhutan,1995,2010,refugee
418,Myanmar,2000,2015,refugee
422,Kambodsja,1980,1995,refugee
