kommune_code,kommune,fylke,boligtype_code,multiplier,source
0301,Oslo,Oslo,01,1.0,data
0301,Oslo,Oslo,02,1.0,data
0301,Oslo,Oslo,03,1.0,data
1101,Eigersund,Rogaland,01,0.723,data
1101,Eigersund,Rogaland,02,0.777,data
1101,Eigersund,Rogaland,03,0.696,data
1103,Stavanger,Rogaland,01,1.313,data
1103,Stavanger,Rogaland,02,1.112,data
1103,Stavanger,Rogaland,03,1.163,data
1106,Haugesund,Rogaland,01,0.857,data
1106,Haugesund,Rogaland,02,0.705,data
1106,Haugesund,Rogaland,03,0.767,data
1108,Sandnes,Rogaland,01,1.09,data
1108,Sandnes,Rogaland,02,1.079,data
1108,Sandnes,Rogaland,03,1.027,data
1111,Sokndal,Rogaland,01,0.648,data
1111,Sokndal,Rogaland,02,0.55,imputed
1111,Sokndal,Rogaland,03,0.55,imputed
1112,Lund,Rogaland,01,0.45,data
1112,Lund,Rogaland,02,0.55,imputed
1112,Lund,Rogaland,03,0.55,imputed
1114,Bjerkreim,Rogaland,01,0.55,imputed
1114,Bjerkreim,Rogaland,02,0.55,imputed
1114,Bjerkreim,Rogaland,03,0.55,imputed
1119,Hå,Rogaland,01,0.91,data
1119,Hå,Rogaland,02,0.86,data
1119,Hå,Rogaland,03,0.836,data
1120,Klepp,Rogaland,01,1.051,data
1120,Klepp,Rogaland,02,1.036,data
1120,Klepp,Rogaland,03,0.955,data
1121,Time,Rogaland,01,1.013,data
1121,Time,Rogaland,02,1.039,data
1121,Time,Rogaland,03,0.955,data
1122,Gjesdal,Rogaland,01,0.878,data
1122,Gjesdal,Rogaland,02,0.986,data
1122,Gjesdal,Rogaland,03,0.888,data
1124,Sola,Rogaland,01,1.159,data
1124,Sola,Rogaland,02,1.171,data
1124,Sola,Rogaland,03,1.046,data
1127,Randaberg,Rogaland,01,1.141,data
1127,Randaberg,Rogaland,02,1.097,data
1127,Randaberg,Rogaland,03,1.003,data
1130,Strand,Rogaland,01,0.864,data
1130,Strand,Rogaland,02,0.876,data
1130,Strand,Rogaland,03,0.764,data
1133,Hjelmeland,Rogaland,01,0.769,data
1133,Hjelmeland,Rogaland,02,0.55,imputed
1133,Hjelmeland,Rogaland,03,0.55,imputed
1134,Suldal,Rogaland,01,0.55,imputed
1134,Suldal,Rogaland,02,0.55,imputed
1134,Suldal,Rogaland,03,0.55,imputed
1135,Sauda,Rogaland,01,0.456,data
1135,Sauda,Rogaland,02,0.55,imputed
1135,Sauda,Rogaland,03,0.55,imputed
1144,Kvitsøy,Rogaland,01,0.55,imputed
1144,Kvitsøy,Rogaland,02,0.55,imputed
1144,Kvitsøy,Rogaland,03,0.55,imputed
1145,Bokn,Rogaland,01,0.55,imputed
1145,Bokn,Rogaland,02,0.55,imputed
1145,Bokn,Rogaland,03,0.55,imputed
1146,Tysvær,Rogaland,01,0.771,data
1146,Tysvær,Rogaland,02,0.777,data
1146,Tysvær,Rogaland,03,0.673,data
1149,Karmøy,Rogaland,01,0.715,data
1149,Karmøy,Rogaland,02,0.775,data
1149,Karmøy,Rogaland,03,0.657,data
1151,Utsira,Rogaland,01,0.55,imputed
1151,Utsira,Rogaland,02,0.55,imputed
1151,Utsira,Rogaland,03,0.55,imputed
1160,Vindafjord,Rogaland,01,0.601,data
1160,Vindafjord,Rogaland,02,0.72,imputed
1160,Vindafjord,Rogaland,03,0.72,imputed
1505,Kristiansund,Møre og Romsdal,01,1.029,data
1505,Kristiansund,Møre og Romsdal,02,0.832,data
1505,Kristiansund,Møre og Romsdal,03,0.701,data
1506,Molde,Møre og Romsdal,01,1.228,data
1506,Molde,Møre og Romsdal,02,1.068,data
1506,Molde,Møre og Romsdal,03,1.137,data
1508,Ålesund,Møre og Romsdal,01,1.325,data
1508,Ålesund,Møre og Romsdal,02,1.146,data
1508,Ålesund,Møre og Romsdal,03,1.133,data
1511,Vanylven,Møre og Romsdal,01,0.55,imputed
1511,Vanylven,Møre og Romsdal,02,0.55,imputed
1511,Vanylven,Møre og Romsdal,03,0.55,imputed
1514,Sande,Møre og Romsdal,01,0.55,imputed
1514,Sande,Møre og Romsdal,02,0.55,imputed
1514,Sande,Møre og Romsdal,03,0.55,imputed
1515,Herøy (Møre og Romsdal),Møre og Romsdal,01,0.717,data
1515,Herøy (Møre og Romsdal),Møre og Romsdal,02,0.831,data
1515,Herøy (Møre og Romsdal),Møre og Romsdal,03,0.804,data
1516,Ulstein,Møre og Romsdal,01,0.848,data
1516,Ulstein,Møre og Romsdal,02,0.998,data
1516,Ulstein,Møre og Romsdal,03,0.903,data
1517,Hareid,Møre og Romsdal,01,0.808,data
1517,Hareid,Møre og Romsdal,02,0.72,imputed
1517,Hareid,Møre og Romsdal,03,0.694,data
1520,Ørsta,Møre og Romsdal,01,1.053,data
1520,Ørsta,Møre og Romsdal,02,0.92,data
1520,Ørsta,Møre og Romsdal,03,0.866,data
1525,Stranda,Møre og Romsdal,01,0.613,data
1525,Stranda,Møre og Romsdal,02,0.55,imputed
1525,Stranda,Møre og Romsdal,03,0.55,imputed
1528,Sykkylven,Møre og Romsdal,01,0.732,data
1528,Sykkylven,Møre og Romsdal,02,0.72,imputed
1528,Sykkylven,Møre og Romsdal,03,0.873,data
1531,Sula,Møre og Romsdal,01,1.11,data
1531,Sula,Møre og Romsdal,02,1.04,data
1531,Sula,Møre og Romsdal,03,1.051,data
1532,Giske,Møre og Romsdal,01,1.135,data
1532,Giske,Møre og Romsdal,02,1.055,data
1532,Giske,Møre og Romsdal,03,0.949,data
1535,Vestnes,Møre og Romsdal,01,0.738,data
1535,Vestnes,Møre og Romsdal,02,0.72,imputed
1535,Vestnes,Møre og Romsdal,03,0.974,data
1539,Rauma,Møre og Romsdal,01,0.913,data
1539,Rauma,Møre og Romsdal,02,0.655,data
1539,Rauma,Møre og Romsdal,03,0.803,data
1547,Aukra,Møre og Romsdal,01,1.044,data
1547,Aukra,Møre og Romsdal,02,0.55,imputed
1547,Aukra,Møre og Romsdal,03,0.88,data
1554,Averøy,Møre og Romsdal,01,0.879,data
1554,Averøy,Møre og Romsdal,02,0.72,imputed
1554,Averøy,Møre og Romsdal,03,0.72,imputed
1557,Gjemnes,Møre og Romsdal,01,0.55,imputed
1557,Gjemnes,Møre og Romsdal,02,0.55,imputed
1557,Gjemnes,Møre og Romsdal,03,0.55,imputed
1560,Tingvoll,Møre og Romsdal,01,0.489,data
1560,Tingvoll,Møre og Romsdal,02,0.55,imputed
1560,Tingvoll,Møre og Romsdal,03,0.55,imputed
1563,Sunndal,Møre og Romsdal,01,0.871,data
1563,Sunndal,Møre og Romsdal,02,0.72,imputed
1563,Sunndal,Møre og Romsdal,03,0.72,imputed
1566,Surnadal,Møre og Romsdal,01,0.733,data
1566,Surnadal,Møre og Romsdal,02,0.72,imputed
1566,Surnadal,Møre og Romsdal,03,0.72,imputed
1573,Smøla,Møre og Romsdal,01,0.726,data
1573,Smøla,Møre og Romsdal,02,0.55,imputed
1573,Smøla,Møre og Romsdal,03,0.55,imputed
1576,Aure,Møre og Romsdal,01,0.634,data
