kommune_code,kommune,sentralitet,sentralitet_label_no,sentralitet_label_en
0301,Oslo,1,Storby,Major city
1101,Eigersund,4,Tettsted,Town
1103,Stavanger,2,By,City
1106,Haugesund,3,Mindre by,Smaller city
1108,Sandnes,2,By,City
1111,Sokndal,5,Mindre tettsted,Smaller town
1112,Lund,5,Mindre tettsted,Smaller town
1114,Bjerkreim,4,Tettsted,Town
1119,Hå,4,Tettsted,Town
1120,Klepp,3,Mindre by,Smaller city
1121,Time,3,Mindre by,Smaller city
1122,Gjesdal,3,Mindre by,Smaller city
1124,Sola,2,By,City
1127,Randaberg,3,Mindre by,Smaller city
1130,Strand,3,Mindre by,Smaller city
1133,Hjelmeland,5,Mindre tettsted,Smaller town
1134,Suldal,6,Distrikt,Rural
1135,Sauda,5,Mindre tettsted,Smaller town
1144,Kvitsøy,6,Distrikt,Rural
1145,Bokn,5,Mindre tettsted,Smaller town
1146,Tysvær,4,Tettsted,Town
1149,Karmøy,4,Tettsted,Town
1151,Utsira,6,Distrikt,Rural
1160,Vindafjord,5,Mindre tettsted,Smaller town
1505,Kristiansund,4,Tettsted,Town
1506,Molde,4,Tettsted,Town
1508,Ålesund,3,Mindre by,Smaller city
1511,Vanylven,6,Distrikt,Rural
1514,Sande,6,Distrikt,Rural
1515,Herøy (Møre og Romsdal),5,Mindre tettsted,Smaller town
1516,Ulstein,4,Tettsted,Town
1517,Hareid,4,Tettsted,Town
1520,Ørsta,4,Tettsted,Town
1525,Stranda,5,Mindre tettsted,Smaller town
1528,Sykkylven,4,Tettsted,Town
1531,Sula,4,Tettsted,Town
1532,Giske,4,Tettsted,Town
1535,Vestnes,5,Mindre tettsted,Smaller town
1539,Rauma,5,Mindre tettsted,Smaller town
1547,Aukra,5,Mindre tettsted,Smaller town
1554,Averøy,5,Mindre tettsted,Smaller town
1557,Gjemnes,5,Mindre tettsted,Smaller town
1560,Tingvoll,5,Mindre tettsted,Smaller town
1563,Sunndal,5,Mindre tettsted,Smaller town
1566,Surnadal,5,Mindre tettsted,Smaller town
1573,Smøla,6,Distrikt,Rural
1576,Aure,6,Distrikt,Rural
1577,Volda,4,Tettsted,Town
1578,Fjord,6,Distrikt,Rural
1579,Hustadvika,5,Mindre tettsted,Smaller town
1580,Haram,5,Mindre tettsted,Smaller town
1804,Bodø,3,Mindre by,Smaller city
1806,Narvik,4,Tettsted,Town
1811,Bindal,6,Distrikt,Rural
1812,Sømna,6,Distrikt,Rural
1813,Brønnøy,5,Mindre tettsted,Smaller town
1815,Vega,6,Distrikt,Rural
1816,Vevelstad,6,Distrikt,Rural
1818,Herøy (Nordland),6,Distrikt,Rural
1820,Alstahaug,5,Mindre tettsted,Smaller town
1822,Leirfjord,6,Distrikt,Rural
1824,Vefsn,4,Tettsted,Town
1825,Grane,6,Distrikt,Rural
1826,Aarborte,6,Distrikt,Rural
1827,Dønna,6,Distrikt,Rural
1828,Nesna,6,Distrikt,Rural
1832,Hemnes,5,Mindre tettsted,Smaller town
1833,Rana,4,Tettsted,Town
1834,Lurøy,6,Distrikt,Rural
1835,Træna,6,Distrikt,Rural
1836,Rødøy,6,Distrikt,Rural
1837,Meløy,6,Distrikt,Rural
1838,Gildeskål,6,Distrikt,Rural
1839,Beiarn,6,Distrikt,Rural
1840,Saltdal,5,Mindre tettsted,Smaller town
1841,Fauske,4,Tettsted,Town
1845,Sørfold,6,Distrikt,Rural
1848,Steigen,6,Distrikt,Rural
1851,Lødingen,6,Distrikt,Rural
1853,Evenes,6,Distrikt,Rural
1856,Røst,6,Distrikt,Rural
1857,Værøy,6,Distrikt,Rural
1859,Flakstad,6,Distrikt,Rural
1860,Vestvågøy,5,Mindre tettsted,Smaller town
1865,Vågan,5,Mindre tettsted,Smaller town
1866,Hadsel,5,Mindre tettsted,Smaller town
1867,Bø,6,Distrikt,Rural
1868,Øksnes,5,Mindre tettsted,Smaller town
1870,Sortland,4,Tettsted,Town
1871,Andøy,6,Distrikt,Rural
1874,Moskenes,6,Distrikt,Rural
1875,Hábmer,6,Distrikt,Rural
3101,Halden,3,Mindre by,Smaller city
3103,Moss,2,By,City
3105,Sarpsborg,2,By,City
3107,Fredrikstad,2,By,City
3110,Hvaler,4,Tettsted,Town
3112,Råde,3,Mindre by,Smaller city
3114,Våler (Østfold),3,Mindre by,Smaller city
3116,Skiptvet,3,Mindre by,Smaller city
3118,Indre Østfold,3,Mindre by,Smaller city
3120,Rakkestad,3,Mindre by,Smaller city
3122,Marker,4,Tettsted,Town
3124,Aremark,5,Mindre tettsted,Smaller town
3201,Bærum,1,Storby,Major city
3203,Asker,2,By,City
3205,Lillestrøm,1,Storby,Major city
3207,Nordre Follo,2,By,City
3209,Ullensaker,2,By,City
3212,Nesodden,3,Mindre by,Smaller city
3214,Frogn,2,By,City
3216,Vestby,2,By,City
3218,Ås,2,By,City
3220,Enebakk,3,Mindre by,Smaller city
3222,Lørenskog,1,Storby,Major city
3224,Rælingen,1,Storby,Major city
3226,Aurskog-Høland,3,Mindre by,Smaller city
3228,Nes,3,Mindre by,Smaller city
3230,Gjerdrum,2,By,City
3232,Nittedal,2,By,City
3234,Lunner,3,Mindre by,Smaller city
3236,Jevnaker,3,Mindre by,Smaller city
3238,Nannestad,3,Mindre by,Smaller city
3240,Eidsvoll,3,Mindre by,Smaller city
3242,Hurdal,4,Tettsted,Town
3301,Drammen,2,By,City
3303,Kongsberg,3,Mindre by,Smaller city
3305,Ringerike,3,Mindre by,Smaller city
3310,Hole,3,Mindre by,Smaller city
3312,Lier,2,By,City
3314,Øvre Eiker,3,Mindre by,Smaller city
3316,Modum,3,Mindre by,Smaller city
3318,Krødsherad,5,Mindre tettsted,Smaller town
3320,Flå,5,Mindre tettsted,Smaller town
3322,Nesbyen,5,Mindre tettsted,Smaller town
3324,Gol,4,Tettsted,Town
3326,Hemsedal,5,Mindre tettsted,Smaller town
3328,Ål,5,Mindre tettsted,Smaller town
3330,Hol,5,Mindre tettsted,Smaller town
3332,Sigdal,5,Mindre tettsted,Smaller town
3334,Flesberg,4,Tettsted,Town
3336,Rollag,5,Mindre tettsted,Smaller town
3338,Nore og Uvdal,6,Distrikt,Rural
3401,Kongsvinger,3,Mindre by,Smaller city
3403,Hamar,2,By,City
3405,Lillehammer,3,Mindre by,Smaller city
3407,Gjøvik,3,Mindre by,Smaller city
3411,Ringsaker,3,Mindre by,Smaller city
3412,Løten,3,Mindre by,Smaller city
3413,Stange,3,Mindre by,Smaller city
3414,Nord-Odal,4,Tettsted,Town
3415,Sør-Odal,3,Mindre by,Smaller city
3416,Eidskog,4,Tettsted,Town
3417,Grue,5,Mindre tettsted,Smaller town
3418,Åsnes,5,Mindre tettsted,Smaller town
3419,Våler (Innlandet),5,Mindre tettsted,Smaller town
3420,Elverum,3,Mindre by,Smaller city
3421,Trysil,5,Mindre tettsted,Smaller town
3422,Åmot,5,Mindre tettsted,Smaller town
3423,Stor-Elvdal,6,Distrikt,Rural
3424,Rendalen,6,Distrikt,Rural
3425,Engerdal,6,Distrikt,Rural
3426,Tolga,5,Mindre tettsted,Smaller town
3427,Tynset,5,Mindre tettsted,Smaller town
