styrk2,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9
01,0.02,0.02,0.02,0.05,0.10,0.20,0.02,0.02,0.50,0.05
02,0.05,0.02,0.02,0.03,0.05,0.15,0.02,0.02,0.60,0.04
03,0.20,0.02,0.02,0.02,0.03,0.10,0.02,0.03,0.45,0.11
11,0.03,0.05,0.03,0.30,0.40,0.05,0.03,0.02,0.05,0.04
12,0.02,0.03,0.02,0.15,0.60,0.10,0.02,0.02,0.02,0.02
13,0.02,0.02,0.02,0.08,0.30,0.45,0.05,0.02,0.02,0.02
14,0.05,0.02,0.02,0.05,0.45,0.05,0.02,0.02,0.30,0.02
21,0.02,0.02,0.02,0.03,0.05,0.75,0.03,0.02,0.04,0.02
22,0.01,0.01,0.01,0.02,0.02,0.05,0.85,0.01,0.01,0.01
23,0.02,0.20,0.55,0.05,0.03,0.08,0.03,0.01,0.02,0.01
24,0.02,0.03,0.02,0.15,0.65,0.07,0.02,0.01,0.02,0.01
25,0.01,0.02,0.02,0.02,0.05,0.80,0.02,0.01,0.03,0.02
26,0.02,0.30,0.05,0.50,0.05,0.03,0.03,0.01,0.01,0.00
31,0.02,0.02,0.02,0.02,0.05,0.80,0.02,0.02,0.02,0.01
32,0.01,0.01,0.01,0.02,0.02,0.05,0.85,0.01,0.01,0.01
33,0.03,0.02,0.02,0.05,0.75,0.05,0.03,0.02,0.02,0.01
34,0.02,0.03,0.02,0.40,0.10,0.03,0.35,0.01,0.03,0.01
35,0.02,0.02,0.02,0.02,0.05,0.80,0.02,0.01,0.03,0.01
41,0.15,0.03,0.03,0.05,0.55,0.05,0.03,0.01,0.05,0.05
42,0.10,0.02,0.02,0.05,0.60,0.03,0.03,0.01,0.10,0.04
43,0.10,0.02,0.02,0.03,0.55,0.15,0.02,0.02,0.05,0.04
44,0.20,0.03,0.02,0.05,0.45,0.05,0.02,0.02,0.10,0.06
51,0.05,0.03,0.02,0.03,0.10,0.10,0.08,0.02,0.55,0.02
52,0.15,0.03,0.02,0.05,0.40,0.05,0.03,0.02,0.22,0.03
53,0.02,0.02,0.05,0.05,0.03,0.03,0.75,0.01,0.03,0.01
54,0.05,0.02,0.02,0.05,0.03,0.08,0.05,0.02,0.65,0.03
61,0.02,0.01,0.01,0.02,0.03,0.05,0.01,0.80,0.03,0.02
62,0.03,0.01,0.01,0.02,0.03,0.05,0.01,0.80,0.03,0.01
63,0.05,0.01,0.01,0.02,0.02,0.05,0.01,0.78,0.04,0.01
71,0.05,0.03,0.02,0.02,0.05,0.75,0.02,0.02,0.03,0.01
72,0.03,0.02,0.02,0.02,0.05,0.80,0.02,0.01,0.02,0.01
73,0.03,0.25,0.02,0.02,0.05,0.60,0.02,0.00,0.01,0.00
74,0.02,0.02,0.02,0.02,0.05,0.83,0.02,0.00,0.01,0.01
75,0.05,0.02,0.02,0.02,0.05,0.70,0.02,0.05,0.05,0.02
81,0.10,0.02,0.02,0.02,0.05,0.65,0.03,0.03,0.05,0.03
82,0.15,0.02,0.02,0.02,0.05,0.60,0.02,0.02,0.05,0.05
83,0.15,0.02,0.02,0.02,0.05,0.10,0.02,0.02,0.55,0.05
91,0.30,0.02,0.02,0.02,0.03,0.05,0.03,0.02,0.35,0.16
92,0.15,0.01,0.01,0.02,0.02,0.05,0.02,0.55,0.10,0.07
93,0.25,0.02,0.02,0.02,0.03,0.35,0.02,0.03,0.15,0.11
94,0.25,0.02,0.02,0.02,0.05,0.05,0.02,0.02,0.45,0.10
95,0.30,0.02,0.02,0.02,0.10,0.02,0.02,0.02,0.30,0.18
96,0.25,0.02,0.02,0.02,0.03,0.10,0.02,0.02,0.40,0.12
99,0.35,0.03,0.02,0.03,0.05,0.05,0.03,0.03,0.20,0.21
00,0.20,0.05,0.03,0.05,0.15,0.15,0.10,0.05,0.15,0.07
default,0.15,0.05,0.05,0.05,0.20,0.15,0.10,0.05,0.15,0.05
