styrk2,nus_code,weight
01,821,0.78
01,829,0.12
01,823,0.05
01,825,0.05
02,821,0.82
02,829,0.10
02,825,0.08
03,821,0.55
03,011,0.25
03,829,0.20
11,411,0.32
11,371,0.18
11,311,0.12
11,341,0.12
11,551,0.10
11,421,0.08
11,541,0.05
11,631,0.03
12,411,0.50
12,341,0.18
12,421,0.13
12,551,0.08
12,541,0.06
12,371,0.05
13,551,0.25
13,552,0.25
13,411,0.18
13,571,0.15
13,559,0.10
13,581,0.07
14,411,0.40
14,421,0.18
14,442,0.10
14,831,0.08
14,832,0.08
14,833,0.08
14,441,0.08
21,551,0.22
21,552,0.18
21,571,0.13
21,521,0.10
21,541,0.10
21,572,0.10
21,522,0.06
21,531,0.06
21,513,0.03
21,511,0.02
22,631,0.55
22,632,0.10
22,641,0.07
22,661,0.07
22,651,0.05
22,652,0.05
22,671,0.04
22,644,0.03
22,611,0.02
22,361,0.02
23,221,0.25
23,211,0.15
23,241,0.13
23,231,0.08
23,232,0.08
23,233,0.06
23,234,0.06
23,238,0.06
23,235,0.05
23,242,0.05
23,239,0.03
24,411,0.30
24,341,0.15
24,421,0.10
24,371,0.10
24,422,0.05
24,311,0.05
24,321,0.05
24,351,0.05
24,361,0.05
24,131,0.04
24,117,0.03
24,122,0.03
25,541,0.65
25,542,0.20
25,549,0.05
25,521,0.05
25,531,0.05
26,371,0.22
26,361,0.13
26,321,0.10
26,111,0.07
26,131,0.07
26,351,0.07
26,381,0.06
26,311,0.06
26,117,0.05
26,122,0.05
26,352,0.04
26,135,0.04
26,132,0.04
31,551,0.25
31,552,0.20
31,571,0.15
31,553,0.10
31,559,0.10
31,541,0.10
31,572,0.05
31,521,0.05
32,611,0.55
32,612,0.13
32,621,0.07
32,651,0.06
32,652,0.06
32,613,0.05
32,662,0.04
32,643,0.04
33,411,0.55
33,421,0.20
33,341,0.15
33,422,0.10
34,621,0.20
34,613,0.13
34,411,0.10
34,371,0.10
34,681,0.10
34,159,0.10
34,361,0.07
34,151,0.07
34,152,0.05
34,163,0.04
34,164,0.04
35,541,0.78
35,542,0.15
35,549,0.07
41,411,0.45
41,421,0.18
41,011,0.15
41,432,0.12
41,431,0.05
41,439,0.05
42,411,0.40
42,421,0.25
42,011,0.15
42,832,0.08
42,441,0.07
42,439,0.05
43,411,0.55
43,341,0.20
43,432,0.10
43,431,0.05
43,439,0.05
43,419,0.05
44,411,0.40
44,011,0.25
44,421,0.15
44,541,0.10
44,432,0.05
44,439,0.05
51,831,0.25
51,832,0.20
51,833,0.18
51,581,0.13
51,681,0.10
51,411,0.07
51,442,0.07
52,421,0.55
52,411,0.22
52,422,0.13
52,011,0.10
53,611,0.30
53,612,0.30
53,613,0.13
53,621,0.13
53,681,0.07
53,011,0.07
54,823,0.35
54,821,0.20
54,822,0.15
54,825,0.13
54,824,0.10
54,829,0.07
61,721,0.70
61,731,0.13
61,741,0.10
61,729,0.07
62,741,0.35
62,711,0.35
62,721,0.18
62,719,0.07
62,749,0.05
63,721,0.55
63,711,0.20
63,741,0.15
63,731,0.10
71,571,0.70
71,551,0.10
71,579,0.10
71,572,0.07
71,584,0.03
72,552,0.40
72,551,0.30
72,553,0.13
72,559,0.13
72,583,0.04
73,161,0.25
73,162,0.25
73,553,0.18
73,164,0.13
73,163,0.10
73,166,0.05
73,165,0.04
74,551,0.85
74,559,0.10
74,549,0.05
75,581,0.40
75,583,0.20
75,582,0.18
75,166,0.12
75,162,0.10
81,581,0.28
81,584,0.25
81,552,0.20
81,583,0.15
81,589,0.12
82,552,0.45
82,551,0.25
82,559,0.15
82,583,0.10
82,589,0.05
83,814,0.45
83,813,0.18
83,819,0.14
83,812,0.13
83,811,0.10
91,833,0.40
91,011,0.40
91,831,0.10
91,019,0.10
92,721,0.45
92,741,0.22
92,011,0.18
92,711,0.10
92,731,0.05
93,571,0.50
93,011,0.22
93,579,0.15
93,552,0.13
94,581,0.40
94,832,0.25
94,011,0.20
94,831,0.15
95,421,0.40
95,011,0.40
95,832,0.20
96,833,0.55
96,011,0.30
96,829,0.10
96,831,0.05
99,011,0.55
99,019,0.25
99,833,0.20
00,011,0.50
00,019,0.30
00,411,0.20
default,011,0.40
default,411,0.25
default,019,0.15
default,421,0.10
default,549,0.05
default,611,0.05
