"code","broad","label_en","label_no"
"011","0","General programmes","Allmenne fag"
"019","0","General subjects, other","Allmenne fag, annet"
"111","1","Germanic and Romance languages","Germanske og romanske språk"
"112","1","Slavic, Baltic, and Finno-Ugric languages","Slaviske, baltiske og finsk-ugriske språk"
"113","1","Turkic, Indo-Iranian, Celtic, Semitic, and Asian languages","Tyrkiske, indoiranske, keltiske, semittiske og asiatiske språk"
"114","1","African languages","Afrikanske språk"
"115","1","Classical languages","Klassiske språk"
"116","1","Training for translators","Oversetterutdanning"
"117","1","Linguistics","Språkvitenskap"
"119","1","Languages, other","Språkutdanninger, annet"
"121","1","Literature","Litteraturvitenskap"
"122","1","Librarianship","Bibliotekvitenskap"
"123","1","Authorship","Skjønnlitterær skriving"
"129","1","Literature and librarianship, other","Litteratur- og bibliotekutdanninger, annet"
"131","1","History","Historie"
"132","1","Art history","Kunsthistorie"
"133","1","Archeology","Arkeologi"
"134","1","Cultural studies","Kulturstudier"
"135","1","Philosophy and ethics","Filosofi og etikk"
"139","1","History and philosophy, other","Historie og filosofi, annet"
"141","1","Bible studies, missionary and parish work","Bibelfag, misjon og menighetsarbeid"
"142","1","Christianity and other religions","Kristendom og andre religioner"
"149","1","Religions, other","Religionsutdanninger, annet"
"151","1","Vocal and instrumental music","Vokal og instrumentalmusikk"
"152","1","Theatre and film","Teater og film"
"153","1","Dance and ballet","Dans og ballett"
"159","1","Music, dance and drama, other","Musikk, dans og drama, annet"
"161","1","Domestic crafts, applied art and industrial design","Brukskunst og industridesign"
"162","1","Wood, metal and glass crafts","Tre-, metall- og glasshåndverk"
"163","1","Photography","Fotofag"
"164","1","Drawing, graphic arts, painting and sculpture","Tegning, grafikk, maleri og skulptur"
"165","1","Interior design and display","Interiørdesign og utstillingsdesign"
"166","1","Clothing and textile design","Klesdesign og tekstildesign"
"169","1","Visual art and crafts, other","Visuelle kunstfag og håndverk, annet"
"199","1","Humanities and arts, other","Humanistiske og estetiske fag, annet"
"211","2","Pre-school-/kindergarten teacher education","Førskole-/barnehagelærerutdanning"
"219","2","Pre-school-/kindergarten teacher education, other","Førskole-/barnehagelærerutdanning, annet"
"221","2","General-/primary and lower secondary teacher education","Allmenn-/grunnskolelærerutdanning"
"229","2","General-/primary and lower secondary teacher education, other","Allmenn-/grunnskolelærerutdanning, annet"
"231","2","Humanities and arts, teacher training","Lærerutdanning i humanistiske og estetiske fag"
"232","2","Social sciences and law, teacher training","Lærerutdanning i samfunnsfag og juridiske fag"
"233","2","Business and administration, teacher training","Lærerutdanning i økonomi og administrasjon"
"234","2","Natural sciences, vocational and technical subjects, teacher training","Lærerutdanning i naturvitenskap, yrkes- og tekniske fag"
"235","2","Health, welfare and sport, teacher training","Lærerutdanning i helse-, sosial- og idrettsfag"
"236","2","Primary industries (forestry, agriculture and fishery), teacher training","Lærerutdanning i primærnæringsfag"
"237","2","Transport and communications, safety and security, teacher training","Lærerutdanning i samferdsels-, sikkerhets- og servicefag"
"238","2","Teacher training programmes","Praktisk-pedagogisk utdanning"
"239","2","Specific subject and vocational teacher training, other","Fag- og yrkeslærerutdanning, annet"
"241","2","Pedagogy","Pedagogikk"
"242","2","Special education","Spesialpedagogikk"
"249","2","Pedagogy, other","Pedagogikk, annet"
"251","2","Supplementary education for teachers, unspecified","Videreutdanning for lærere, uoppgitt"
"252","2","Supplementary education for teachers, humanities and arts","Videreutdanning for lærere, humanistiske og estetiske fag"
"253","2","Supplementary education for teachers, pedagogy","Videreutdanning for lærere, pedagogikk"
"254","2","Supplementary education for teachers, social sciences and law","Videreutdanning for lærere, samfunnsfag og juridiske fag"
"255","2","Supplementary education for teachers, business and administration","Videreutdanning for lærere, økonomi og administrasjon"
"256","2","Supplementary education for teachers, natural sciences, vocational and","Videreutdanning for lærere, naturvitenskap, yrkes- og tekniske fag"
"257","2","Supplementary education for teachers, health, welfare and sport","Videreutdanning for lærere, helse-, sosial- og idrettsfag"
"258","2","Supplementary education for teachers, primary industries","Videreutdanning for lærere, primærnæringsfag"
"259","2","Supplementary education for teachers, other","Videreutdanning for lærere, annet"
"299","2","Teacher training and pedagogy, other","Lærerutdanninger og pedagogikk, annet"
"311","3","Political science","Statsvitenskap"
"319","3","Political science, other","Statsvitenskap, annet"
"321","3","Sociology","Sosiologi"
"329","3","Sociology, other","Sosiologi, annet"
"331","3","Social geography","Samfunnsgeografi"
"339","3","Social geography, other","Samfunnsgeografi, annet"
"341","3","Economics","Samfunnsøkonomi"
"349","3","Economics, other","Samfunnsøkonomi, annet"
"351","3","Media and communication","Medier og kommunikasjon"
"352","3","Journalism","Journalistikk"
"359","3","Media and information, other","Medier og informasjon, annet"
"361","3","Psychology","Psykologi"
"369","3","Psychology, other","Psykologi, annet"
"371","3","Study of law","Jus"
"372","3","Criminology","Kriminologi"
"379","3","Law, other","Juridiske fag, annet"
"381","3","Social anthropology","Sosialantropologi"
"389","3","Social anthropology, other","Sosialantropologi, annet"
"399","3","Social sciences and law, other","Samfunnsfag og juridiske fag, annet"
"411","4","Business and administration","Økonomi og administrasjon"
"419","4","Business and administration, other","Økonomi og administrasjon, annet"
"421","4","Wholesale and retail sales","Varehandel"
"422","4","Marketing","Markedsføring"
"429","4","Wholesale and retail sales and marketing, other","Varehandel og markedsføring, annet"
"431","4","Secretarial training","Sekretærutdanning"
"432","4","Office skills","Kontorfag"
"439","4","Secretarial and office skills, other","Sekretær- og kontorfag, annet"
"441","4","Tourism and travel","Turisme og reiseliv"
"442","4","Hotel and restaurant","Hotell og restaurant"
"449","4","Hotel, travel and tourism, other","Hotell-, reise- og turismefag, annet"
"499","4","Business and administration, other","Økonomiske og administrative fag, annet"
"511","5","Zoology","Zoologi"
"512","5","Botany","Botanikk"
"513","5","Microbiology and cell biology","Mikrobiologi og cellebiologi"
"514","5","Environmental and pollution studies","Miljø- og forurensningsstudier"
"515","5","Marine and freshwater biology","Marin- og ferskvannsbiologi"
"519","5","Biology, other","Biologi, annet"
"521","5","Physics","Fysikk"
"522","5","Chemistry","Kjemi"
"529","5","Physics and chemistry","Fysikk og kjemi"
"531","5","Mathematics","Matematikk"
"532","5","Statistics","Statistikk"
"539","5","Mathematics and statistics, other","Matematikk og statistikk, annet"
"541","5","Information and computer technology","Informasjons- og datateknologi"
"542","5","Information modelling","Informasjonsmodellering"
"549","5","Information and computer technology, other","Informasjons- og datateknologi, annet"
"551","5","Electrical and electronic subjects","Elektro- og elektronikkfag"
"552","5","Mechanical subjects","Mekaniske fag"
"553","5","Precision engineering","Finmekaniske fag"
"559","5","Electrical, electronic, mechanical and machine","Elektro-, elektronikk-, mekaniske og maskinfag"
"561","5","Geology","Geologi"
"562","5","Geophysics","Geofysikk"
"563","5","Natural geography","Naturgeografi"
"569","5","Earth sciences, other","Geofag, annet"
