code,label_en,label_no
0,General programs,Allmenne fag
1,Humanities and arts,Humanistiske og estetiske fag
2,Teacher education,Lærerutdanninger og utdanninger i pedagogikk
3,Social sciences and law,Samfunnsfag og juridiske fag
4,Business and administration,Økonomiske og administrative fag
5,Natural sciences and technology,Naturvitenskapelige og tekniske fag
6,Health welfare and sport,Helse- sosial- og idrettsfag
7,Primary industries,Primærnæringsfag
8,Transport security and services,Samferdsel og servicefag
9,Unspecified,Uoppgitt
