code,label,male_hc,female_hc,female_share
0110,Offiserer fra fenrik og høyere grad,4452,786,0.150
0210,Befal med sersjant grad,4388,816,0.157
0310,Menige,4037,1286,0.242
1111,Politikere,1434,1076,0.429
1112,Toppledere i offentlig administrasjon,590,428,0.420
1114,Toppledere i interesseorganisasjoner,1327,1237,0.482
1120,Administrerende direktører,29060,10026,0.257
1211,Finans- og økonomisjefer,5075,4034,0.443
1212,Personalsjefer,834,1516,0.645
1213,Strategi- og planleggingssjefer,2165,2759,0.560
1219,Andre administrative ledere,14201,13164,0.481
1221,Salgs- og markedssjefer,11340,4783,0.297
1222,PR- og informasjonssjefer,1005,890,0.470
1223,Forsknings- og utviklingsledere,2185,992,0.312
1311,"Ledere i skogbruk, gartnerier mv.",441,252,0.364
1312,Ledere innen akvakultur mv.,318,0,0.000
1321,Ledere av industriproduksjon mv.,10989,1805,0.141
1322,Ledere av olje- og gassutvinning mv.,6265,1723,0.216
1323,Ledere av bygge- og anleggsvirksomhet,15120,1175,0.072
1324,Ledere av logistikk og transport mv.,7344,1670,0.185
1330,Ledere av IKT-enheter,5237,962,0.155
1341,Ledere av omsorgstjenester for barn,472,3729,0.888
1342,Ledere av helsetjenester,3080,9598,0.757
1343,Ledere av eldreomsorg,540,1638,0.752
1344,Ledere av sosialomsorg,937,838,0.472
1345,Ledere av utdanning og undervisning,4833,6976,0.591
1346,Ledere av forsikring og finansvirksomhet,3296,1866,0.361
1349,Andre ledere av produksjon og tjenesteyting,3598,2263,0.386
1411,Hotellsjefer,425,352,0.453
1412,Restaurantsjefer,2426,1487,0.380
1420,Varehandelssjefer,17468,17045,0.494
1431,"Sports-, rekreasjons- og kultursenterledere",1567,1578,0.502
1439,Andre daglige ledere i tjenesteytende virksomheter,404,776,0.658
2111,Fysikere og astronomer,361,171,0.321
2112,Meteorologer,176,139,0.441
2113,Kjemikere,418,540,0.564
2114,Geologer og geofysikere,1806,1053,0.368
2120,"Matematikere, statistikere mv.",1016,809,0.443
2131,"Biologer, botanikere, zoologer mv.",929,1008,0.520
2132,Sivilagronomer mv.,330,306,0.481
2133,Miljøvernrådgivere,453,712,0.611
2141,Sivilingeniører (industri og produksjon),914,223,0.196
2142,Sivilingeniører (bygg og anlegg),21584,5559,0.205
2143,Sivilingeniører (miljøteknikk),222,324,0.593
2144,Sivilingeniører (maskin- og marin-teknikk),4151,821,0.165
2145,Sivilingeniører (kjemi),473,397,0.456
2146,"Sivilingeniører (geofag, petro-leumsteknologi, metallurgi mv.)",8568,3127,0.267
2149,Andre sivilingeniører (unntatt elektroteknologi),4619,3457,0.428
2151,Sivilingeniører (elkraftteknikk),3718,894,0.194
2152,Sivilingeniører (elektronikk),4031,608,0.131
2153,Sivilingeniører (telekommunikasjon),572,114,0.166
2161,Sivilarkitekter,2915,3421,0.540
2162,Landskapsarkitekter,299,641,0.682
2163,Produkt- og klesdesignere,391,519,0.570
2164,Arealplanleggere,771,683,0.470
2165,"Landmålere, kartografer mv.",624,264,0.297
2166,Grafiske- og multimediadesignere,2250,2594,0.536
