code,label,schedule,median_nok,mean_nok,headcount
0000,Uoppgitt / yrker som ikke kan identifiseres,all,42820,45140,11937
0000,Uoppgitt / yrker som ikke kan identifiseres,full,48440,51320,2763
0000,Uoppgitt / yrker som ikke kan identifiseres,part,37350,38900,9174
0110,Offiserer fra fenrik og høyere grad,all,88010,93330,5238
0110,Offiserer fra fenrik og høyere grad,full,88260,93470,4923
0110,Offiserer fra fenrik og høyere grad,part,66310,84010,315
0210,Befal med sersjant grad,all,80760,85550,5204
0210,Befal med sersjant grad,full,80800,85330,4939
0210,Befal med sersjant grad,part,67270,104170,265
0310,Menige,all,55680,62140,5323
0310,Menige,full,55780,62010,4991
0310,Menige,part,49440,70740,332
1111,Politikere,all,88680,88200,2510
1111,Politikere,full,87330,87690,706
1111,Politikere,part,91650,89420,1804
1112,Toppledere i offentlig administrasjon,all,119520,123580,1018
1112,Toppledere i offentlig administrasjon,full,120190,124650,966
1114,Toppledere i interesseorganisasjoner,all,75250,80410,2564
1114,Toppledere i interesseorganisasjoner,full,77300,82630,2056
1114,Toppledere i interesseorganisasjoner,part,54360,57270,508
1120,Administrerende direktører,all,84000,108510,39086
1120,Administrerende direktører,full,87670,112360,32376
1120,Administrerende direktører,part,56900,64770,6710
1211,Finans- og økonomisjefer,all,101670,119060,9109
1211,Finans- og økonomisjefer,full,103460,120750,8217
1211,Finans- og økonomisjefer,part,75000,84870,892
1212,Personalsjefer,all,96670,106360,2350
1212,Personalsjefer,full,97620,107170,2221
1212,Personalsjefer,part,67680,78660,129
1213,Strategi- og planleggingssjefer,all,85560,87110,4924
1213,Strategi- og planleggingssjefer,full,85570,87230,4821
1213,Strategi- og planleggingssjefer,part,75000,75450,103
1219,Andre administrative ledere,all,79170,89170,27365
1219,Andre administrative ledere,full,80210,90390,23453
1219,Andre administrative ledere,part,64840,69730,3912
1221,Salgs- og markedssjefer,all,89170,98290,16123
1221,Salgs- og markedssjefer,full,89720,98970,15318
1221,Salgs- og markedssjefer,part,65460,72470,805
1222,PR- og informasjonssjefer,all,83130,90320,1895
1222,PR- og informasjonssjefer,full,84650,92250,1639
1222,PR- og informasjonssjefer,part,59800,63750,256
1223,Forsknings- og utviklingsledere,all,96010,104570,3177
1223,Forsknings- og utviklingsledere,full,97050,105570,2905
1223,Forsknings- og utviklingsledere,part,74980,82600,272
1311,"Ledere i skogbruk, gartnerier mv.",all,67940,74250,693
1311,"Ledere i skogbruk, gartnerier mv.",full,68950,75210,590
1311,"Ledere i skogbruk, gartnerier mv.",part,58670,62930,103
1312,Ledere innen akvakultur mv.,all,88000,94270,404
1312,Ledere innen akvakultur mv.,full,88440,94590,388
1321,Ledere av industriproduksjon mv.,all,83330,93080,12794
1321,Ledere av industriproduksjon mv.,full,83680,93670,11965
1321,Ledere av industriproduksjon mv.,part,61620,74730,829
1322,Ledere av olje- og gassutvinning mv.,all,120670,132900,7988
1322,Ledere av olje- og gassutvinning mv.,full,120840,133140,7872
1322,Ledere av olje- og gassutvinning mv.,part,94620,106820,116
1323,Ledere av bygge- og anleggsvirksomhet,all,73140,81220,16295
1323,Ledere av bygge- og anleggsvirksomhet,full,74480,82380,14241
1323,Ledere av bygge- og anleggsvirksomhet,part,57670,63090,2054
1324,Ledere av logistikk og transport mv.,all,79220,86850,9014
1324,Ledere av logistikk og transport mv.,full,80000,87750,8293
1324,Ledere av logistikk og transport mv.,part,55870,63370,721
1330,Ledere av IKT-enheter,all,98510,107770,6199
1330,Ledere av IKT-enheter,full,99920,109190,5673
1330,Ledere av IKT-enheter,part,65000,71920,526
1341,Ledere av omsorgstjenester for barn,all,68600,69770,4201
1341,Ledere av omsorgstjenester for barn,full,68760,70050,3635
1341,Ledere av omsorgstjenester for barn,part,65080,66080,566
1342,Ledere av helsetjenester,all,71330,79480,12678
1342,Ledere av helsetjenester,full,71330,79720,11951
1342,Ledere av helsetjenester,part,67480,71750,727
1343,Ledere av eldreomsorg,all,74530,76170,2178
1343,Ledere av eldreomsorg,full,74600,76400,2036
1343,Ledere av eldreomsorg,part,68510,68830,142
1344,Ledere av sosialomsorg,all,67070,71620,1775
1344,Ledere av sosialomsorg,full,67560,72180,1563
1344,Ledere av sosialomsorg,part,57890,61840,212
1345,Ledere av utdanning og undervisning,all,75610,77340,11809
1345,Ledere av utdanning og undervisning,full,76010,77880,10461
1345,Ledere av utdanning og undervisning,part,68600,68310,1348
1346,Ledere av forsikring og finansvirksomhet,all,108190,126920,5162
1346,Ledere av forsikring og finansvirksomhet,full,108940,128110,4836
1346,Ledere av forsikring og finansvirksomhet,part,70480,85370,326
1349,Andre ledere av produksjon og tjenesteyting,all,85320,92990,5861
1349,Andre ledere av produksjon og tjenesteyting,full,86200,93890,5449
1349,Andre ledere av produksjon og tjenesteyting,part,62350,69300,412
1411,Hotellsjefer,all,52610,58740,777
1411,Hotellsjefer,full,53180,59260,688
1412,Restaurantsjefer,all,50770,55440,3913
1412,Restaurantsjefer,full,51470,56010,3372
1412,Restaurantsjefer,part,43330,46540,541
1420,Varehandelssjefer,all,55390,63810,34513
1420,Varehandelssjefer,full,57000,64940,29611
1420,Varehandelssjefer,part,45830,50010,4902
1431,"Sports-, rekreasjons- og kultursenterledere",all,62500,66750,3145
1431,"Sports-, rekreasjons- og kultursenterledere",full,64140,68580,2366
1431,"Sports-, rekreasjons- og kultursenterledere",part,51590,54220,779
1439,Andre daglige ledere i tjenesteytende virksomheter,all,55000,62370,1180
