"code","label"
"AP","Stemmer det moren stemte — og hun stemte AP"
"AP","Vokste opp på Furuset"
"AP","Stemmer AP fordi LO sa det"
"AP","Sier 'sosialdemokrati' som om det er et uttrykk"
"AP","Synes Støre er kjedelig, men trygg"
"AP","Faner i 1. mai-toget — hjem igjen klokka 14"
"AP","Aktiv i fagforeningen — har skrevet leserinnlegg"
"H","Stemmer H — drikker hvitvin og ser Bjelland"
"H","Hører på Civita-podcast på vei til hytta"
"H","Mener seg sentrum-orientert — er det ikke"
"H","Stemmer H fordi det er smart for skatten"
"H","Eier en Tesla og to leiligheter — derfor H"
"H","Var med i UH før Erna ble noen"
"FRP","Synes Sylvi sier det andre tenker"
"FRP","Vil ha lavere bilavgifter — koste hva det vil"
"FRP","Skifta fra Ap til Frp i 2013 og angrer ikke"
"FRP","Kommenterer høylytt på Facebook"
"FRP","Mener Norge bygges nedenfra og opp"
"FRP","Stemte Frp som ung og stemmer Frp som gammel"
"SV","Stemmer SV, men gråter litt over Audun"
"SV","Tatovering av Marx — ler av seg selv"
"SV","Boikotter Israel — glemmer kibbutz-onkelen"
"SV","Var medlem av SU på Blindern"
"SV","Sender Lyspæren til Svalbard hvert år"
"SP","Driver gård og synes det er greit"
"SP","Stemmer Sp fordi byrokratiet i Oslo er irriterende"
"SP","Mener Vedum er en fin fyr"
"SP","Pendler til kommunesentrum — hjem til hytta i helgene"
"SP","Hatkjærlighet til EØS"
"V","Stemmer V som en livsstil"
"V","Drikker mate-te, leser Klassekampen, stemmer V"
"V","Var med på 'jeg-er-grønn'-marsjen"
"V","Kjente Trine fra studenttiden"
"V","Sykler til jobb — kjører Audi til hytta"
"KRF","Foreldrene gjorde det og det funker"
"KRF","Misjon, alkohol-skepsis, KrF"
"KRF","Stemmer KrF fordi Hareide var fin"
"KRF","Møter i bedehuset hver søndag"
"KRF","Skuffa over abortliberaliseringen — holder fast"
"R","Synes Moxnes er kjekk"
"R","Stemmer R, jobber i Coop, ler av kontradiksjonen"
"R","Bærer aldri Mao-merke — har sett alle dokumentarene"
"R","Var med i RU på 90-tallet"
"R","Vil ha makspris på leie — eier selv tre hybler"
"R","Sier 'kapitalismen' som om det er et personlig fornærmelse"
"MDG","Sykler hele året og skiller på melk"
"MDG","Stemmer MDG — kjører diesel-Audi"
"MDG","Vegan tre dager i uka"
"MDG","Trodde Lan Marie var statsråd — ble skuffet"
"MDG","Hater bensinprisen mer enn klimaendringer"
"ANDRE","Stemte INP, siterer Kringkastingsrådet"
"ANDRE","Stemmer Demokratene, vet at det er bortkastet"
"ANDRE","Liberalisten — har lest Mises på engelsk"
"ANDRE","Pasientfokus — engasjert etter pårørende-erfaring"
"ANDRE","Egen liste — 'Innbyggernes parti for ekte fornuft'"
"STEMTE_IKKE","Synes Moxnes er kjekk, men var for fyllesyk til å stemme i år"
"STEMTE_IKKE","Stemmer aldri på prinsipp"
"STEMTE_IKKE","Glemte å registrere flytting"
"STEMTE_IKKE","Skiftet mening i stemmeavlukket og stemte blank"
"STEMTE_IKKE","Tilhører de stille flertallet — har ikke stemt siden 1997"
"STEMTE_IKKE","Var ute på hytta — glemte å forhåndsstemme"
"STEMTE_IKKE","Mener at alle politikere er like dårlige"
"STEMTE_IKKE","Glemte at det var valg"
"STEMTE_IKKE","Stemte i 1997 — har ikke sett vits siden"
"STEMTE_IKKE","Trodde det var lokalvalg — var stortingsvalg"
"STEMTE_IKKE","Sa 'jeg trenger mer info' i 4 år og valgte aldri"
"STEMTE_IKKE","Sympatiserer med MDG, men kjører diesel-Audi"
