code,label,DnK,KAT,ANN_KRIS,ISL,HUM,BUD,HIN,JOD,ANN,INGEN
143,Tyrkia,0,0,0.01,0.88,0,0,0,0.001,0.02,0.09
203,Algerie,0,0,0.01,0.95,0,0,0,0,0.02,0.02
204,Angola,0,0.41,0.48,0.01,0,0,0,0,0.06,0.04
216,Burundi,0,0.58,0.32,0.02,0,0,0,0,0.04,0.04
241,Eritrea,0,0.03,0.57,0.36,0,0,0,0,0.02,0.02
246,Etiopia,0,0.01,0.6,0.33,0,0,0,0,0.03,0.03
249,Egypt,0,0.01,0.11,0.83,0,0,0,0,0.01,0.04
260,Ghana,0,0.1,0.6,0.19,0,0,0,0,0.06,0.05
276,Kenya,0,0.2,0.63,0.1,0,0,0.01,0,0.03,0.03
283,Liberia,0,0.05,0.79,0.12,0,0,0,0,0.02,0.02
303,Marokko,0,0,0.01,0.93,0,0,0,0,0.01,0.05
313,Nigeria,0,0.11,0.35,0.5,0,0,0,0,0.02,0.02
319,Mosambik,0,0.28,0.31,0.19,0,0,0,0,0.15,0.07
329,Rwanda,0,0.43,0.49,0.02,0,0,0,0,0.03,0.03
339,Sierra Leone,0,0.03,0.17,0.77,0,0,0,0,0.02,0.01
346,Somalia,0,0,0.01,0.96,0,0,0,0,0.01,0.02
355,Sør-Sudan,0,0.38,0.22,0.06,0,0,0,0,0.3,0.04
356,Sudan,0,0.01,0.05,0.89,0,0,0,0,0.02,0.03
359,Sør-Afrika,0,0.07,0.75,0.02,0,0,0.01,0.001,0.06,0.09
369,Tanzania,0,0.25,0.36,0.34,0,0,0,0,0.03,0.02
379,Tunisia,0,0,0.01,0.93,0,0,0,0,0.01,0.05
386,Uganda,0,0.39,0.44,0.13,0,0,0,0,0.02,0.02
404,Afghanistan,0,0,0.01,0.94,0,0,0,0,0.01,0.04
410,Bangladesh,0,0,0.01,0.88,0,0.01,0.07,0,0.01,0.02
416,Brunei,0,0.02,0.05,0.78,0,0.07,0.01,0,0.04,0.03
424,Sri Lanka,0,0.03,0.04,0.09,0,0.66,0.13,0,0.02,0.03
444,India,0,0.01,0.02,0.13,0,0.01,0.76,0,0.04,0.03
452,Irak,0,0.01,0.03,0.9,0,0,0,0,0.02,0.04
456,Iran,0,0.01,0.02,0.72,0.01,0,0,0.001,0.04,0.2
476,Jordan,0,0.01,0.04,0.9,0,0,0,0,0.01,0.04
508,Libanon,0,0.1,0.24,0.58,0,0,0,0,0.02,0.06
528,Nepal,0,0,0.01,0.04,0,0.09,0.79,0,0.04,0.03
534,Pakistan,0,0.01,0.01,0.92,0,0,0.02,0,0.01,0.03
544,Saudi-Arabia,0,0,0.02,0.92,0,0,0,0,0.02,0.04
564,Syria,0,0.01,0.09,0.85,0,0,0,0,0.01,0.04
