styrk98_7digit,styrk08_4digit
0111101,0310
0111102,0310
0111103,0310
0111104,0310
0112101,0210
0112102,0110
0112103,0110
0112104,0110
0112105,0110
0112107,0110
0112108,0210
0112109,0210
0112110,0210
0112111,0210
0112112,0210
0112113,0210
0112114,0210
0112115,0210
0112116,0210
0112117,0210
0112118,0210
0113101,0110
0113102,0110
0113103,0110
0113104,0110
0113105,0110
0113106,0110
0113107,0110
0113108,0110
0113109,0110
0113110,0110
0113111,0110
0113112,0110
0113113,0110
0113114,0110
0113115,0110
0113116,0110
0113117,0110
0113118,0110
0113119,0110
0113120,0110
0113121,0110
0113122,0110
0113123,0110
0113124,0110
0113125,0110
0113126,0110
1110101,1111
1110102,1111
1110103,1111
1110104,1111
1110105,1111
1110106,1111
1110107,1111
1110108,1111
1110109,1111
1110110,1111
1110111,1111
1110112,1111
1110113,1111
1110114,1111
1110115,1111
1110116,1111
1110117,1111
1110118,1111
1110119,1111
1110120,1111
1110121,1111
1110122,1111
1110123,1111
1110124,1111
1110125,1111
1110126,1111
1110127,1111
1110128,1111
1110129,1111
1110130,1111
1120101,1112
1120102,1112
1120103,1112
1120104,1112
1120105,1112
1120106,1112
1120107,1112
1120108,1112
1120109,1112
1120110,1112
1120111,1112
1120112,1112
1120113,1112
1120114,1112
1120115,1112
1120116,1112
1120117,1112
1120118,1112
1120119,1112
1120120,1112
1120121,1112
1120122,1112
1120123,1112
1120124,1112
1120125,1112
1120126,1112
1120127,1112
1120128,1112
1120129,1112
1120130,1112
1120131,1112
1120132,1112
1120133,1112
1120134,1112
1120135,1112
1120136,1112
1120137,1112
1120138,1112
1120139,1112
1120140,1112
1120141,1112
1120142,1112
1120143,1112
1120144,1112
1120145,1112
1120146,1112
1120147,1112
1120148,1112
1120149,1112
1120150,1112
1120151,1112
1120152,1112
1120153,1112
1120154,1112
1141101,1114
1141102,1114
1141103,1114
1141104,1114
1141105,1114
1141106,1114
1141107,1114
1141108,1114
1141109,1114
1141110,1114
1141111,1114
1142101,1114
1142102,1114
1142103,1114
1142104,1114
1142105,1114
1142106,1114
1142107,1114
1142108,1114
1142109,1114
1142110,1114
1142111,1114
1142112,1114
1142113,1114
1142114,1114
1142115,1114
1142116,1114
1143101,1114
1143102,1114
1143103,1114
1143104,1114
1143105,1212
1143106,1114
1143107,1114
1143108,1114
1143109,1114
1143110,1114
1143111,1114
1143112,1114
1143113,1114
1210101,1120
1210102,1439
1210103,1439
1210104,1431
1210105,1323
1210106,1420
1210107,1120
1210108,1120
1210109,1120
1210110,1120
1210111,1321
1210112,1311
1210114,1120
1210115,1120
1210116,1342
1210117,1120
1210118,1120
1210119,1120
1210120,1120
1210121,1120
1210122,1120
1210123,1321
1210124,1349
1210125,1120
1210126,1321
1210127,1420
1210128,1345
1210129,1349
1210131,1120
1210132,1349
1210133,1120
1210134,1420
1210135,1431
1210136,1120
1210137,1120
1210139,1120
1210140,1431
1210141,1420
1210142,1431
1210143,1342
1210144,1349
1210145,1343
1210146,1344
1210147,1341
1210148,1412
1210149,1120
1210150,1120
1210151,1120
1210153,1120
1210154,1120
1210155,1120
1210156,1120
1210157,1324
1210159,1120
1210160,1219
1210161,1120
1210162,1120
1210163,1120
1210164,1120
1210166,1120
1210167,1349
1210168,1120
1210170,1321
1210171,1120
1210172,1120
1210173,1120
1210174,1120
1210175,1120
1210177,1120
1210178,1120
1210179,1120
1210180,1120
1210182,1349
1210183,1120
1210184,1349
1210185,1431
1210186,1120
1210187,1120
1210188,1120
1210189,1120
1210190,1120
1210191,1120
1210192,1346
1210193,1120
1210194,1120
1210195,1120
1210196,1120
1210197,1420
1210199,1420
1210200,1420
1210201,1330
1210202,1439
1210203,1120
1210204,1120
1210205,1120
1210206,1420
1210207,1341
1210208,1342
1210209,1120
1210210,1349
1210211,1120
1210212,1120
1210213,1120
1210214,1120
1210215,1120
1210216,1120
1210217,1120
1210218,1120
1210219,1120
1210220,1120
1210221,1120
1210222,1120
1221101,1311
1221102,1311
1221103,1311
1221104,1311
1221105,1311
1221106,1311
1221107,1312
1221108,1311
1221110,1311
1221111,1311
1221112,1311
1221113,1311
1221114,1311
1221115,1311
