age_band,bracket_code,bracket_label,count
17-24,00-,≤0,182294
25-34,00-,≤0,517157
35-44,00-,≤0,484788
45-54,00-,≤0,380063
55-66,00-,≤0,266413
67+,00-,≤0,124642
17-24,01,1-100k,204257
25-34,01,1-100k,89635
35-44,01,1-100k,78989
45-54,01,1-100k,66299
55-66,01,1-100k,62217
67+,01,1-100k,58297
17-24,02,100-200k,61537
25-34,02,100-200k,31872
35-44,02,100-200k,25809
45-54,02,100-200k,26390
55-66,02,100-200k,28827
67+,02,100-200k,35312
17-24,03,200-300k,31312
25-34,03,200-300k,21751
35-44,03,200-300k,18337
45-54,03,200-300k,19711
55-66,03,200-300k,24717
67+,03,200-300k,31753
17-24,04,300-400k,17788
25-34,04,300-400k,16043
35-44,04,300-400k,14810
45-54,04,300-400k,17371
55-66,04,300-400k,22775
67+,04,300-400k,30914
17-24,05,400-500k,10738
25-34,05,400-500k,12614
35-44,05,400-500k,12596
45-54,05,400-500k,15752
55-66,05,400-500k,21668
67+,05,400-500k,30423
17-24,07,500-750k,11392
25-34,07,500-750k,21319
35-44,07,500-750k,24717
45-54,07,500-750k,33049
55-66,07,500-750k,50008
67+,07,500-750k,75460
17-24,08,750k-1M,4832
25-34,08,750k-1M,13402
35-44,08,750k-1M,17866
45-54,08,750k-1M,26334
55-66,08,750k-1M,42926
67+,08,750k-1M,70277
17-24,09,1-2M,6016
25-34,09,1-2M,23321
35-44,09,1-2M,38725
45-54,09,1-2M,62788
55-66,09,1-2M,118609
67+,09,1-2M,209196
17-24,10+,2M+,2713
25-34,10+,2M+,15361
35-44,10+,2M+,40229
45-54,10+,2M+,84731
55-66,10+,2M+,181776
67+,10+,2M+,270669
